"stelle","zeichen_code","zeichen_original","position","bedeutung","normen","verwendung_ende","version","doi_concept","doi_version"
"BVerwG","WD","WD","hauptzeichen","Berufung (Wehrdisziplinarsachen)","§ 115 ff WDO",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BVerwG","WDB","WDB","hauptzeichen","Rechtsmittelverfahren über Anträge, Beschwerden und Vorlagen nach der Wehrdisziplinarordnung","§ 114 WDO",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BVerwG","WDS-AV","WDS-AV","hauptzeichen","Allgemeine Verfahren (Wehrdienstsenate)",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BVerwG","WDS-KSt","WDS-KSt","hauptzeichen","Kostensachen (Wehrdienstsenate)",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BVerwG","WDS-PKH","WDS-PKH","hauptzeichen","Prozesskostenhilfe (Wehrdienstsenate)",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BVerwG","WDS-St","WDS-St","hauptzeichen","Angeforderte Stellungnahmen der Senate des Bundesverwaltungsgerichts (Wehrdienstsenate)","§ 12 RsprEinhG","2015-06-01","1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BVerwG","WDS-VR","WDS-VR","hauptzeichen","Vorläufiger Rechtsschutz (Wehrdienstsenate)",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BVerwG","WDW","WDW","hauptzeichen","Wiederaufnahme (Wehrdisziplinarsachen)","§ 129 ff WDO",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BVerwG","WNB","WNB","hauptzeichen","Nichtzulassungsbeschwerde nach Wehrbeschwerdeordnung","§ 22b WBO",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BVerwG","WRB","WRB","hauptzeichen","Rechtsbeschwerde nach Wehrbeschwerdeordnung","§ 22a WBO",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","AR","AR","hauptzeichen","Allgemeines Register",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","AREnw","AR(Enw)","hauptzeichen","Rechtsbeschwerden in Bußgeldverfahren nach dem EnWG",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","ARKart","AR(Kart)","hauptzeichen","Rechtsbeschwerden in Kartellbußgeldverfahren",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","ARP","ARP","hauptzeichen","Allgemeines Register (Staatsschutzstrafsachen)",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","AnwSt","AnwSt","hauptzeichen","Anträge auf Einleitung des anwaltsgerichtlichen Verfahrens und Beschwerden in Ordnungsmittelverfahren gegen Rechtsanwälte beim Bundesgerichtshof",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","AnwStB","AnwSt(B)","hauptzeichen","Beschwerden gegen die Nichtzulassung der Revision und Beschwerden gegen Entscheidungen eines Anwaltsgerichtshofes",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","AnwStR","AnwSt(R)","hauptzeichen","Revisionen gegen Urteile eines Anwaltsgerichtshofes",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","BAusl","BAusl","hauptzeichen","Auslieferungssachen",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","BGns","BGns","hauptzeichen","Gnadensachen",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","BJs","BJs","hauptzeichen","Ermittlungsverfahren des Generalbundesanwalts beim Bundesgerichtshof",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","PatAnwStB","PatAnwSt(B)","hauptzeichen","Beschwerden gegen die Nichtzulassung der Revision und Beschwerden nach der PatAO",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","PatAnwStR","PatAnwSt(R)","hauptzeichen","Revisionen nach der PatAO",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","StE","StE","hauptzeichen","Strafsachen vor den Oberlandesgerichten, in denen der Generalbundesanwalt beim Bundesgerichtshof Anklage erhoben hat",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","StR","StR","hauptzeichen","Revisionen und Vorlegungssachen nach § 121 Abs.1 Nr.1, Abs. 2 GVG, § 79 Abs. 3 OWiG, §§ 13 Abs. 4, 25 StrRehaG (Strafsachen)","§ 121 I Nr.1, II S.2 GVG; § 79 III OWiG; § 13 IV StrRehaG; § 25 StrRehaG",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","StbStB","StbSt(B)","hauptzeichen","Beschwerden gegen die Nichtzulassung der Revision und Beschwerden in berufsgerichtlichen Verfahren (Steuerberater- und Steuerbevollmächtigtensachen)",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","StbStR","StbSt(R)","hauptzeichen","Revisionen in berufsgerichtlichen Verfahren (Steuerberater- und Steuerbevollmächtigtensachen)",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","WpStB","WpSt(B)","hauptzeichen","Beschwerden gegen die Nichtzulassung der Revision und Beschwerden in berufsgerichtlichen Verfahren (Wirtschaftsprüfersachen)",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"GBA","WpStR","WpSt(R)","hauptzeichen","Revisionen in berufsgerichtlichen Verfahren (Wirtschaftsprüfersachen)",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
