year,pagemax1,pagemax0
2000,74,73
2001,81,80
2002,92,91
2003,97,96
2004,103,102
2005,104,103
2006,104,103
2007,111,110
2008,122,121
2009,114,113
2010,122,121
2011,124,123
2012,118,117
2013,107,106
2014,103,102
2015,103,102
2016,110,109
2017,105,104
2018,100,99
2019,99,98
2020,109,108
2021,27,26
